filepath,water_fraction,water_pixels,total_pixels,error
data/raw/external/river_water_dataset\2019\images\DJI_11.JPG,0.04970394031314153,259550,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_12.JPG,0.25957961822471426,1355504,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_13.JPG,0.4537804102705518,2369605,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_14.JPG,0.6391493933265925,3337587,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_15.JPG,0.7536199328982444,3935343,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_16.JPG,0.756994745227809,3952966,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_17.JPG,0.7629841131231424,3984242,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_18.JPG,0.8595980022673653,4488752,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_19.JPG,0.8474225955204217,4425173,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_20.JPG,0.8681590296289488,4533457,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_21.JPG,0.7883309204277353,4116601,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_22.JPG,0.6561259077121059,3426237,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_23.JPG,0.7629228329809725,3983922,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_24.JPG,0.7016220087630604,3663814,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_25.JPG,0.47595290621074243,2485388,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_26.JPG,0.32571295615405826,1700847,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_27.JPG,0.254294971964335,1327908,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_28.JPG,0.3302386861537519,1724480,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_29.JPG,0.13675736127707816,714136,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_30.JPG,0.05137324968593927,268267,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_31.JPG,0.017083754634310753,89210,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_38.JPG,0.0658112341820633,343661,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_39.JPG,0.22918236970309772,1196772,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_40.JPG,0.36056105800165456,1882821,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_41.JPG,0.3696806921592058,1930443,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_42.JPG,0.3692484756564635,1928186,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_43.JPG,0.5260503799368814,2746993,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_44.JPG,0.7372543049299874,3849883,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_45.JPG,0.7745783160216931,4044786,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_46.JPG,0.7742458712504213,4043050,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_47.JPG,0.7125530456230659,3720895,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_48.JPG,0.6670184529828109,3483117,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_49.JPG,0.6691791524956338,3494400,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_50.JPG,0.503552907742746,2629513,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_51.JPG,0.3006511015105555,1569976,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_52.JPG,0.1095219765909857,571915,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_78.JPG,0.15115838618745595,789337,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_79.JPG,0.3595409351349695,1877494,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_80.JPG,0.48844562919385975,2550624,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_81.JPG,0.5316508104298802,2776238,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_82.JPG,0.5238868079173944,2735695,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_83.JPG,0.6211466280601771,3243578,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_84.JPG,0.6258477724668321,3268127,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_85.JPG,0.6361294313202807,3321817,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_86.JPG,0.6251277307963354,3264367,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_87.JPG,0.5672674035603763,2962225,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_88.JPG,0.4070123632686828,2125386,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_89.JPG,0.38567749027177745,2013977,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_90.JPG,0.2875875157030364,1501759,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_91.JPG,0.058138194380610964,303593,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_101.JPG,0.012591154211477771,65750,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_102.JPG,0.4659598385268254,2433205,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_116.JPG,0.07148960535588443,373313,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_117.JPG,0.2587364417685449,1351101,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_118.JPG,0.36654027637344117,1914044,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_119.JPG,0.3975491773140914,2075970,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_120.JPG,0.5070535358642032,2647793,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_121.JPG,0.6002736541348775,3134581,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_122.JPG,0.5928742684683028,3095942,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_123.JPG,0.5912413441799185,3087415,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_124.JPG,0.5787135766154977,3021996,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_125.JPG,0.49529540858534793,2586393,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_126.JPG,0.44461941201703586,2321767,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_127.JPG,0.3888140760486564,2030356,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_128.JPG,0.15253967889205503,796550,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_129.JPG,0.014015534516040077,73188,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_139.JPG,0.0208306523271134,108776,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_140.JPG,0.14448651070870486,754497,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_141.JPG,0.3276256625915372,1710835,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_142.JPG,0.41380296902288816,2160846,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_143.JPG,0.4050142476330545,2114952,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_144.JPG,0.43393138922082297,2265955,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_145.JPG,0.5675385681894782,2963641,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_146.JPG,0.5999839139626804,3133068,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_147.JPG,0.6066487039249931,3167871,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_148.JPG,0.5637799889695744,2944014,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_149.JPG,0.3874697429298036,2023336,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_150.JPG,0.26154422128259336,1365763,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_151.JPG,0.24624735729386893,1285884,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_152.JPG,0.24732741979961392,1291524,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_153.JPG,0.11003596378343598,574599,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_154.JPG,0.011338549805435548,59209,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_179.JPG,0.012952898550724637,67639,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_180.JPG,0.11927605172044,622850,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_181.JPG,0.18862908661948097,985006,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_182.JPG,0.19588867696173054,1022915,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_183.JPG,0.19980792505438613,1043381,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_184.JPG,0.36491941661304655,1905580,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_185.JPG,0.5448888531421393,2845366,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_186.JPG,0.5838578530502191,3048859,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_187.JPG,0.6024291831357049,3145837,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_188.JPG,0.5611137282838496,2930091,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_189.JPG,0.40985863437203174,2140249,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_190.JPG,0.3225936054171646,1684558,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_191.JPG,0.318802471121733,1664761,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_192.JPG,0.3174024113735944,1657450,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_193.JPG,0.17300590587370163,903423,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_194.JPG,0.02133966050801238,111434,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_206.JPG,0.01629170879676441,85074,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_207.JPG,0.11924905015779637,622709,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_208.JPG,0.29379864111284737,1534193,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_209.JPG,0.39677494101786315,2071927,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_210.JPG,0.41827527039862733,2184200,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_211.JPG,0.549717919845574,2870583,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_212.JPG,0.6253184652388394,3265363,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_213.JPG,0.6241309709838527,3259162,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_214.JPG,0.6237941217023624,3257403,5221920,
